,SurveyDate,Zone,DataType,DataCount
378,2/19/2011,III,Western Gull,3
379,2/19/2011,III Boulders,Bird,0
380,2/19/2011,III Boulders,People,3
381,2/19/2011,III Rocky Outcrop,Brown Pelican,63
382,2/19/2011,III Rocky Outcrop,Cormorant,1
383,2/19/2011,III Rocky Outcrop,People,0
384,2/19/2011,III Rocky Outcrop,Snowy Egret,1
385,2/19/2011,III Rocky Outcrop,Tern,40
386,2/19/2011,III Rocky Outcrop,Unidentified Gull,110
387,2/26/2011,I,Black Phoebe,1
388,2/26/2011,I,Black Turnstone,4
389,2/26/2011,I,People,18
390,2/26/2011,I,Snowy Egret,1
391,2/26/2011,I,Spotted Sandpiper,1
392,2/26/2011,II,People,6
393,2/26/2011,II,Snowy Egret,1
394,2/26/2011,II,Spotted Sandpiper,3
395,2/26/2011,II,Western Gull,2
396,2/26/2011,II,Whimbrel,1
397,2/26/2011,III,Black Phoebe,1
398,2/26/2011,III,Great Egret,1
399,2/26/2011,III,Juvenile Gull,2
400,2/26/2011,III,People,0
401,2/26/2011,III,Snowy Egret,3
402,2/26/2011,III,Spotted Sandpiper,1
403,2/26/2011,III,Western Gull,3
404,2/26/2011,III Boulders,Great Blue Heron,1
405,2/26/2011,III Boulders,Western Gull,1
406,2/26/2011,III Rocky Outcrop,Brown Pelican,39
407,2/26/2011,III Rocky Outcrop,Cormorant,4
408,2/26/2011,III Rocky Outcrop,Tern,50
409,2/26/2011,III Rocky Outcrop,Unidentified Gull,112
410,2/27/2011,I,Dogs On Leash,1
411,2/27/2011,I,People,78
412,2/27/2011,I,Spotted Sandpiper,2
413,2/27/2011,I,Western Gull,1
414,2/27/2011,II,People,17
415,2/27/2011,II,Western Gull,3
416,2/27/2011,III,Great Blue Heron,1
417,2/27/2011,III,Great Egret,1
418,2/27/2011,III,Juvenile Gull,3
419,2/27/2011,III,People,0
420,2/27/2011,III,Snowy Egret,7
421,2/27/2011,III,Western Gull,5
422,2/27/2011,III Boulders,Bird,0
423,2/27/2011,III Rocky Outcrop,Brown Pelican,12
424,2/27/2011,III Rocky Outcrop,Cormorant,7
425,2/27/2011,III Rocky Outcrop,Great Blue Heron,3
426,2/27/2011,III Rocky Outcrop,Snowy Egret,2
427,2/27/2011,III Rocky Outcrop,Tern,25
428,2/27/2011,III Rocky Outcrop,Unidentified Gull,30
429,3/1/2011,I,Black Phoebe,1
430,3/1/2011,I,People,16
431,3/1/2011,I,Snowy Egret,1
432,3/1/2011,I,Spotted Sandpiper,1
433,3/1/2011,I,Western Gull,2
434,3/1/2011,II,Great Blue Heron,1
435,3/1/2011,II,People,0
436,3/1/2011,II,Snowy Egret,2
437,3/1/2011,II,Western Gull,2
438,3/1/2011,III,Brown Pelican,1
439,3/1/2011,III,Great Blue Heron,1
440,3/1/2011,III,Great Egret,2
441,3/1/2011,III,People,0
442,3/1/2011,III,Snowy Egret,3
443,3/1/2011,III,Western Gull,7
444,3/1/2011,III Boulders,Bird,0
445,3/1/2011,III Boulders,People,0
446,3/1/2011,III Rocky Outcrop,Brown Pelican,25
447,3/1/2011,III Rocky Outcrop,Snowy Egret,1
448,3/1/2011,III Rocky Outcrop,Tern,22
449,3/1/2011,III Rocky Outcrop,Unidentified Gull,27
450,3/2/2011,I,Dogs On Leash,1
451,3/2/2011,I,People,40
452,3/2/2011,I,Snowy Egret,2
453,3/2/2011,I,Spotted Sandpiper,2
454,3/2/2011,I,Western Gull,2
455,3/2/2011,II,Black Phoebe,1
456,3/2/2011,II,Great Blue Heron,1
457,3/2/2011,II,People,10
458,3/2/2011,II,Western Gull,1
459,3/2/2011,III,Great Blue Heron,1
460,3/2/2011,III,Great Egret,1
461,3/2/2011,III,Juvenile Gull,3
462,3/2/2011,III,People,0
463,3/2/2011,III,Snowy Egret,5
464,3/2/2011,III,Western Gull,5
465,3/2/2011,III Boulders,Bird,0
466,3/2/2011,III Boulders,People,0
467,3/2/2011,III Rocky Outcrop,Brown Pelican,15
468,3/2/2011,III Rocky Outcrop,Cormorant,1
469,3/2/2011,III Rocky Outcrop,Snowy Egret,1
470,3/2/2011,III Rocky Outcrop,Tern,44
471,3/2/2011,III Rocky Outcrop,Unidentified Gull,54
472,3/3/2011,I,Black Turnstone,2
473,3/3/2011,I,People,23
474,3/3/2011,I,Snowy Egret,2
475,3/3/2011,I,Spotted Sandpiper,2
476,3/3/2011,I,Western Gull,2
477,3/3/2011,II,Black Turnstone,1
478,3/3/2011,II,Great Blue Heron,1
479,3/3/2011,II,Great Egret,1
480,3/3/2011,II,People,13
481,3/3/2011,II,Snowy Egret,2
482,3/3/2011,II,Spotted Sandpiper,2
483,3/3/2011,II,Western Gull,2
484,3/3/2011,III,Great Egret,1
485,3/3/2011,III,People,0
486,3/3/2011,III,Snowy Egret,3
487,3/3/2011,III,Spotted Sandpiper,1
488,3/3/2011,III Boulders,Bird,0
489,3/3/2011,III Rocky Outcrop,Brown Pelican,16
490,3/3/2011,III Rocky Outcrop,Great Egret,1
491,3/3/2011,III Rocky Outcrop,Tern,40
492,3/3/2011,III Rocky Outcrop,Unidentified Gull,105
493,3/4/2011,I,People,43
494,3/4/2011,I,Spotted Sandpiper,1
495,3/4/2011,I,Western Gull,2
496,3/4/2011,II,People,3
497,3/4/2011,II,Snowy Egret,2
498,3/4/2011,II,Western Gull,3
499,3/4/2011,III,Great Blue Heron,1
500,3/4/2011,III,Juvenile Gull,3
501,3/4/2011,III,People,0
502,3/4/2011,III,Snowy Egret,2
503,3/4/2011,III,Spotted Sandpiper,1
504,3/4/2011,III,Western Gull,6
505,3/4/2011,III Boulders,Bird,0
506,3/4/2011,III Rocky Outcrop,Brown Pelican,45
507,3/4/2011,III Rocky Outcrop,Cormorant,3
508,3/4/2011,III Rocky Outcrop,Tern,30
509,3/4/2011,III Rocky Outcrop,Unidentified Gull,69
510,3/15/2011,I,People,66
511,3/15/2011,I,Snowy Egret,1
512,3/15/2011,I,Spotted Sandpiper,1
513,3/15/2011,I,Western Gull,2
514,3/15/2011,II,Black Phoebe,2
515,3/15/2011,II,Black Turnstone,3
516,3/15/2011,II,Great Egret,1
517,3/15/2011,II,People,10
518,3/15/2011,II,Snowy Egret,2
519,3/15/2011,II,Spotted Sandpiper,1
520,3/15/2011,II,Western Gull,2
521,3/15/2011,III,Great Blue Heron,2
522,3/15/2011,III,Great Egret,2
523,3/15/2011,III,Juvenile Gull,1
524,3/15/2011,III,People,0
525,3/15/2011,III,Savannah Sparrow,1
526,3/15/2011,III,Snowy Egret,1
527,3/15/2011,III,Wandering Tattler,1
528,3/15/2011,III,Western Gull,2
529,3/15/2011,III Boulders,Bird,0
530,3/15/2011,III Rocky Outcrop,Brown Pelican,12
531,3/15/2011,III Rocky Outcrop,Great Blue Heron,2
532,3/15/2011,III Rocky Outcrop,Snowy Egret,2
533,3/15/2011,III Rocky Outcrop,Tern,74
534,3/15/2011,III Rocky Outcrop,Unidentified Gull,65
535,3/16/2011,I,Black Turnstone,1
536,3/16/2011,I,People,181
537,3/16/2011,I,Spotted Sandpiper,2
538,3/16/2011,I,Western Gull,2
539,3/16/2011,II,Black Phoebe,2
540,3/16/2011,II,People,14
541,3/16/2011,II,Sparrow,3
542,3/16/2011,II,Western Gull,2
543,3/16/2011,II,White Crowned Sparrow,2
544,3/16/2011,III,People,0
545,3/16/2011,III,Snowy Egret,3
546,3/16/2011,III,Wandering Tattler,2
547,3/16/2011,III,Western Gull,2
548,3/16/2011,III,Willet,1
549,3/16/2011,III Boulders,Bird,0
550,3/16/2011,III Rocky Outcrop,Brown Pelican,6
551,3/16/2011,III Rocky Outcrop,Cormorant,2
552,3/16/2011,III Rocky Outcrop,Snowy Egret,2
553,3/16/2011,III Rocky Outcrop,Tern,85
554,3/16/2011,III Rocky Outcrop,Unidentified Gull,52
555,3/17/2011,I,Black Turnstone,2
556,3/17/2011,I,People,56
557,3/17/2011,I,Spotted Sandpiper,2
558,3/17/2011,II,Black Phoebe,1
559,3/17/2011,II,Black Turnstone,1
560,3/17/2011,II,People,20
561,3/17/2011,II,Western Gull,3
562,3/17/2011,III,Great Egret,1
563,3/17/2011,III,Juvenile Gull,1
564,3/17/2011,III,People,0
565,3/17/2011,III,Snowy Egret,1
566,3/17/2011,III,Western Gull,6
567,3/17/2011,III Boulders,Bird,0
568,3/17/2011,III Rocky Outcrop,Brown Pelican,12
569,3/17/2011,III Rocky Outcrop,Cormorant,0
570,3/17/2011,III Rocky Outcrop,Snowy Egret,2
571,3/17/2011,III Rocky Outcrop,Tern,96
572,3/17/2011,III Rocky Outcrop,Unidentified Gull,44
573,3/18/2011,I,People,88
574,3/18/2011,I,Spotted Sandpiper,1
575,3/18/2011,I,Western Gull,2
576,3/18/2011,II,People,92
577,3/18/2011,II,Wandering Tattler,2
578,3/18/2011,II,Western Gull,2
579,3/18/2011,III,Great Blue Heron,1
580,3/18/2011,III,Great Egret,2
581,3/18/2011,III,People,0
582,3/18/2011,III,Ring-Billed Gull,1
583,3/18/2011,III,Snowy Egret,5
584,3/18/2011,III,Spotted Sandpiper,2
585,3/18/2011,III,Western Gull,3
586,3/18/2011,III Boulders,Bird,0
587,3/18/2011,III Rocky Outcrop,Brown Pelican,5
588,3/18/2011,III Rocky Outcrop,Cormorant,0
589,3/18/2011,III Rocky Outcrop,Tern,54
590,3/18/2011,III Rocky Outcrop,Unidentified Gull,66
591,3/19/2011,I,Black Turnstone,1
592,3/19/2011,I,People,82
593,3/19/2011,I,Spotted Sandpiper,1
594,3/19/2011,I,Western Gull,1
595,3/19/2011,II,Bird,0
596,3/19/2011,II,People,8
597,3/19/2011,III,Great Blue Heron,2
598,3/19/2011,III,People,3
599,3/19/2011,III,Snowy Egret,3
600,3/19/2011,III,Sparrow,2
601,3/19/2011,III,Unidentified Bird (non-gull),1
602,3/19/2011,III,Western Gull,2
603,3/19/2011,III Boulders,Bird,0
604,3/19/2011,III Rocky Outcrop,Brown Pelican,5
605,3/19/2011,III Rocky Outcrop,Cormorant,0
606,3/19/2011,III Rocky Outcrop,Tern,50
607,3/19/2011,III Rocky Outcrop,Unidentified Gull,31
608,3/28/2011,I,People,73
609,3/28/2011,I,Snowy Egret,2
610,3/28/2011,I,Spotted Sandpiper,2
611,3/28/2011,I,Western Gull,2
612,3/28/2011,II,Black Phoebe,2
613,3/28/2011,II,Great Egret,1
614,3/28/2011,II,People,2
615,3/28/2011,II,Snowy Egret,4
616,3/28/2011,II,Spotted Sandpiper,1
617,3/28/2011,II,Wandering Tattler,1
618,3/28/2011,III,Great Blue Heron,1
619,3/28/2011,III,People,0
620,3/28/2011,III,Snowy Egret,1
621,3/28/2011,III Boulders,People,0
622,3/28/2011,III Boulders,Snowy Egret,2
623,3/28/2011,III Rocky Outcrop,Brown Pelican,10
624,3/28/2011,III Rocky Outcrop,Tern,60
625,3/28/2011,III Rocky Outcrop,Unidentified Gull,50
626,3/29/2011,I,Black Turnstone,2
627,3/29/2011,I,People,60
628,3/29/2011,I,Snowy Egret,1
629,3/29/2011,I,Spotted Sandpiper,1
630,3/29/2011,I,Western Gull,2
631,3/29/2011,II,People,18
632,3/29/2011,II,Snowy Egret,1
633,3/29/2011,II,Spotted Sandpiper,1
