"","SurveyDate","Zone","Bird","Count"
"162",2011-01-30,"I","Spotted Sandpiper",1
"163",2011-01-30,"II","Black Turnstone",2
"164",2011-01-30,"II","California Gull",1
"165",2011-01-30,"II","Juvenile Gull",1
"166",2011-01-30,"II","Snowy Egret",4
"167",2011-01-30,"II","Western Gull",2
"168",2011-01-30,"III","Brown Pelican",1
"169",2011-01-30,"III","California Gull",1
"170",2011-01-30,"III","Great Blue Heron",1
"171",2011-01-30,"III","Great Egret",1
"172",2011-01-30,"III","Juvenile Gull",7
"173",2011-01-30,"III","Snowy Egret",3
"174",2011-01-30,"III","Spotted Sandpiper",2
"175",2011-01-30,"III","Tern",5
"176",2011-01-30,"III","Unidentified Bird (non-gull)",2
"177",2011-01-30,"III","Western Gull",12
"178",2011-01-30,"III Rocky Outcrop","Brown Pelican",1
"179",2011-01-30,"III Rocky Outcrop","Cormorant",10
"180",2011-01-30,"III Rocky Outcrop","Tern",43
"181",2011-01-30,"III Rocky Outcrop","Unidentified Gull",139
"182",2011-02-01,"I","Snowy Egret",2
"183",2011-02-01,"I","Spotted Sandpiper",2
"184",2011-02-01,"I","Western Gull",1
"185",2011-02-01,"II","Ring-Billed Gull",1
"186",2011-02-01,"II","Snowy Egret",11
"187",2011-02-01,"III","Great Blue Heron",2
"188",2011-02-01,"III","Great Egret",2
"189",2011-02-01,"III","Juvenile Gull",2
"190",2011-02-01,"III","Savannah Sparrow",1
"191",2011-02-01,"III","Snowy Egret",1
"192",2011-02-01,"III","Song sparrow",1
"193",2011-02-01,"III","Spotted Sandpiper",2
"194",2011-02-01,"III","Western Gull",5
"195",2011-02-01,"III Rocky Outcrop","Brown Pelican",6
"196",2011-02-01,"III Rocky Outcrop","Cormorant",10
"197",2011-02-01,"III Rocky Outcrop","Snowy Egret",1
"198",2011-02-01,"III Rocky Outcrop","Tern",15
"199",2011-02-01,"III Rocky Outcrop","Unidentified Gull",53
"200",2011-02-03,"I","Snowy Egret",6
"201",2011-02-03,"I","Spotted Sandpiper",1
"202",2011-02-03,"I","Western Gull",2
"203",2011-02-03,"II","Great Blue Heron",2
"204",2011-02-03,"II","Snowy Egret",2
"205",2011-02-03,"II","Western Gull",6
"206",2011-02-03,"III","Great Egret",1
"207",2011-02-03,"III","Juvenile Gull",1
"208",2011-02-03,"III","Spotted Sandpiper",2
"209",2011-02-03,"III","Western Gull",4
"210",2011-02-03,"III Rocky Outcrop","Brown Pelican",7
"211",2011-02-03,"III Rocky Outcrop","Cormorant",2
"212",2011-02-03,"III Rocky Outcrop","Great Blue Heron",1
"213",2011-02-03,"III Rocky Outcrop","Snowy Egret",1
"214",2011-02-03,"III Rocky Outcrop","Tern",4
"215",2011-02-03,"III Rocky Outcrop","Unidentified Gull",140
"216",2011-02-04,"I","Black Phoebe",1
"217",2011-02-04,"II","Black Phoebe",1
"218",2011-02-04,"II","Black Turnstone",1
"219",2011-02-04,"II","Say's Phoebe",1
"220",2011-02-04,"II","Spotted Sandpiper",3
"221",2011-02-04,"II","Western Gull",1
"222",2011-02-04,"III","Great Blue Heron",1
"223",2011-02-04,"III","Great Egret",2
"224",2011-02-04,"III","Wandering Tattler",1
"225",2011-02-04,"III","Western Gull",2
"226",2011-02-04,"III Rocky Outcrop","Brown Pelican",48
"227",2011-02-04,"III Rocky Outcrop","Cormorant",1
"228",2011-02-04,"III Rocky Outcrop","Snowy Egret",1
"229",2011-02-04,"III Rocky Outcrop","Tern",10
"230",2011-02-04,"III Rocky Outcrop","Unidentified Gull",110
"231",2011-02-14,"I","Spotted Sandpiper",2
"232",2011-02-14,"I","Western Gull",1
"233",2011-02-14,"II","Black Phoebe",1
"234",2011-02-14,"II","Wandering Tattler",1
"235",2011-02-14,"II","Western Gull",1
"236",2011-02-14,"III","Juvenile Gull",1
"237",2011-02-14,"III","Song sparrow",1
"238",2011-02-14,"III","Western Gull",4
"239",2011-02-14,"III Rocky Outcrop","Brown Pelican",48
"240",2011-02-14,"III Rocky Outcrop","Cormorant",5
"241",2011-02-14,"III Rocky Outcrop","Snowy Egret",2
"242",2011-02-14,"III Rocky Outcrop","Tern",36
"243",2011-02-14,"III Rocky Outcrop","Unidentified Gull",70
"244",2011-02-15,"I","Snowy Egret",1
"245",2011-02-15,"I","Spotted Sandpiper",1
"246",2011-02-15,"I","Western Gull",1
"247",2011-02-15,"II","Black Phoebe",1
"248",2011-02-15,"II","Snowy Egret",1
"249",2011-02-15,"II","Western Gull",1
"250",2011-02-15,"III","Great Blue Heron",1
"251",2011-02-15,"III","Juvenile Gull",1
"252",2011-02-15,"III","Snowy Egret",2
"253",2011-02-15,"III","Song sparrow",1
"254",2011-02-15,"III","Spotted Sandpiper",1
"255",2011-02-15,"III","Western Gull",3
"256",2011-02-15,"III Rocky Outcrop","Brown Pelican",49
"257",2011-02-15,"III Rocky Outcrop","Cormorant",1
"258",2011-02-15,"III Rocky Outcrop","Great Egret",1
"259",2011-02-15,"III Rocky Outcrop","Snowy Egret",2
"260",2011-02-15,"III Rocky Outcrop","Tern",65
"261",2011-02-15,"III Rocky Outcrop","Unidentified Gull",95
"262",2011-02-16,"I","Western Gull",2
"263",2011-02-16,"II","Red-breasted Merganser",1
"264",2011-02-16,"II","Snowy Egret",1
"265",2011-02-16,"II","Western Gull",4
"266",2011-02-16,"III","Juvenile Gull",6
"267",2011-02-16,"III","Snowy Egret",3
"268",2011-02-16,"III","Western Gull",3
"269",2011-02-16,"III Rocky Outcrop","Brown Pelican",46
"270",2011-02-16,"III Rocky Outcrop","Cormorant",4
"271",2011-02-16,"III Rocky Outcrop","Great Blue Heron",1
"272",2011-02-16,"III Rocky Outcrop","Snowy Egret",1
"273",2011-02-16,"III Rocky Outcrop","Tern",109
"274",2011-02-16,"III Rocky Outcrop","Unidentified Gull",80
"275",2011-02-17,"I","Black Turnstone",1
"276",2011-02-17,"I","Spotted Sandpiper",1
"277",2011-02-17,"I","Unidentified Bird (non-gull)",1
"278",2011-02-17,"II","Black Turnstone",2
"279",2011-02-17,"II","Spotted Sandpiper",1
"280",2011-02-17,"II","Western Gull",2
"281",2011-02-17,"III","Great Blue Heron",1
"282",2011-02-17,"III","Snowy Egret",2
"283",2011-02-17,"III","Song sparrow",1
"284",2011-02-17,"III","Spotted Sandpiper",1
"285",2011-02-17,"III","Western Gull",3
"286",2011-02-17,"III Boulders","Snowy Egret",1
"287",2011-02-17,"III Rocky Outcrop","Brown Pelican",12
"288",2011-02-17,"III Rocky Outcrop","Cormorant",5
"289",2011-02-17,"III Rocky Outcrop","Tern",75
"290",2011-02-17,"III Rocky Outcrop","Unidentified Gull",47
"291",2011-02-19,"I","Black Turnstone",1
"292",2011-02-19,"I","Spotted Sandpiper",2
"293",2011-02-19,"II","Black Turnstone",2
"294",2011-02-19,"II","Western Gull",2
"295",2011-02-19,"III","Juvenile Gull",1
"296",2011-02-19,"III","Snowy Egret",4
"297",2011-02-19,"III","Sparrow",1
"298",2011-02-19,"III","Spotted Sandpiper",1
"299",2011-02-19,"III","Wandering Tattler",1
"300",2011-02-19,"III","Western Gull",3
"301",2011-02-19,"III Rocky Outcrop","Brown Pelican",63
"302",2011-02-19,"III Rocky Outcrop","Cormorant",1
"303",2011-02-19,"III Rocky Outcrop","Snowy Egret",1
"304",2011-02-19,"III Rocky Outcrop","Tern",40
"305",2011-02-19,"III Rocky Outcrop","Unidentified Gull",110
"306",2011-02-26,"I","Black Phoebe",1
"307",2011-02-26,"I","Black Turnstone",4
"308",2011-02-26,"I","Snowy Egret",1
"309",2011-02-26,"I","Spotted Sandpiper",1
"310",2011-02-26,"II","Snowy Egret",1
"311",2011-02-26,"II","Spotted Sandpiper",3
"312",2011-02-26,"II","Western Gull",2
"313",2011-02-26,"II","Whimbrel",1
"314",2011-02-26,"III","Black Phoebe",1
"315",2011-02-26,"III","Great Egret",1
"316",2011-02-26,"III","Juvenile Gull",2
"317",2011-02-26,"III","Snowy Egret",3
"318",2011-02-26,"III","Spotted Sandpiper",1
"319",2011-02-26,"III","Western Gull",3
"320",2011-02-26,"III Boulders","Great Blue Heron",1
"321",2011-02-26,"III Boulders","Western Gull",1
"322",2011-02-26,"III Rocky Outcrop","Brown Pelican",39
"323",2011-02-26,"III Rocky Outcrop","Cormorant",4
"324",2011-02-26,"III Rocky Outcrop","Tern",50
"325",2011-02-26,"III Rocky Outcrop","Unidentified Gull",112
"326",2011-02-27,"I","Spotted Sandpiper",2
"327",2011-02-27,"I","Western Gull",1
"328",2011-02-27,"II","Western Gull",3
"329",2011-02-27,"III","Great Blue Heron",1
"330",2011-02-27,"III","Great Egret",1
"331",2011-02-27,"III","Juvenile Gull",3
"332",2011-02-27,"III","Snowy Egret",7
"333",2011-02-27,"III","Western Gull",5
"334",2011-02-27,"III Rocky Outcrop","Brown Pelican",12
"335",2011-02-27,"III Rocky Outcrop","Cormorant",7
"336",2011-02-27,"III Rocky Outcrop","Great Blue Heron",3
"337",2011-02-27,"III Rocky Outcrop","Snowy Egret",2
"338",2011-02-27,"III Rocky Outcrop","Tern",25
"339",2011-02-27,"III Rocky Outcrop","Unidentified Gull",30
"340",2011-03-01,"I","Black Phoebe",1
"341",2011-03-01,"I","Snowy Egret",1
"342",2011-03-01,"I","Spotted Sandpiper",1
"343",2011-03-01,"I","Western Gull",2
"344",2011-03-01,"II","Great Blue Heron",1
"345",2011-03-01,"II","Snowy Egret",2
"346",2011-03-01,"II","Western Gull",2
"347",2011-03-01,"III","Brown Pelican",1
"348",2011-03-01,"III","Great Blue Heron",1
"349",2011-03-01,"III","Great Egret",2
"350",2011-03-01,"III","Snowy Egret",3
"351",2011-03-01,"III","Western Gull",7
"352",2011-03-01,"III Rocky Outcrop","Brown Pelican",25
"353",2011-03-01,"III Rocky Outcrop","Snowy Egret",1
"354",2011-03-01,"III Rocky Outcrop","Tern",22
"355",2011-03-01,"III Rocky Outcrop","Unidentified Gull",27
"356",2011-03-02,"I","Snowy Egret",2
"357",2011-03-02,"I","Spotted Sandpiper",2
"358",2011-03-02,"I","Western Gull",2
"359",2011-03-02,"II","Black Phoebe",1
"360",2011-03-02,"II","Great Blue Heron",1
"361",2011-03-02,"II","Western Gull",1
"362",2011-03-02,"III","Great Blue Heron",1
"363",2011-03-02,"III","Great Egret",1
"364",2011-03-02,"III","Juvenile Gull",3
"365",2011-03-02,"III","Snowy Egret",5
"366",2011-03-02,"III","Western Gull",5
"367",2011-03-02,"III Rocky Outcrop","Brown Pelican",15
"368",2011-03-02,"III Rocky Outcrop","Cormorant",1
"369",2011-03-02,"III Rocky Outcrop","Snowy Egret",1
"370",2011-03-02,"III Rocky Outcrop","Tern",44
"371",2011-03-02,"III Rocky Outcrop","Unidentified Gull",54
"372",2011-03-03,"I","Black Turnstone",2
"373",2011-03-03,"I","Snowy Egret",2
"374",2011-03-03,"I","Spotted Sandpiper",2
"375",2011-03-03,"I","Western Gull",2
"376",2011-03-03,"II","Black Turnstone",1
"377",2011-03-03,"II","Great Blue Heron",1
"378",2011-03-03,"II","Great Egret",1
"379",2011-03-03,"II","Snowy Egret",2
"380",2011-03-03,"II","Spotted Sandpiper",2
"381",2011-03-03,"II","Western Gull",2
"382",2011-03-03,"III","Great Egret",1
"383",2011-03-03,"III","Snowy Egret",3
"384",2011-03-03,"III","Spotted Sandpiper",1
"385",2011-03-03,"III Rocky Outcrop","Brown Pelican",16
"386",2011-03-03,"III Rocky Outcrop","Great Egret",1
"387",2011-03-03,"III Rocky Outcrop","Tern",40
"388",2011-03-03,"III Rocky Outcrop","Unidentified Gull",105
"389",2011-03-04,"I","Spotted Sandpiper",1
"390",2011-03-04,"I","Western Gull",2
"391",2011-03-04,"II","Snowy Egret",2
"392",2011-03-04,"II","Western Gull",3
"393",2011-03-04,"III","Great Blue Heron",1
"394",2011-03-04,"III","Juvenile Gull",3
"395",2011-03-04,"III","Snowy Egret",2
"396",2011-03-04,"III","Spotted Sandpiper",1
"397",2011-03-04,"III","Western Gull",6
"398",2011-03-04,"III Rocky Outcrop","Brown Pelican",45
"399",2011-03-04,"III Rocky Outcrop","Cormorant",3
"400",2011-03-04,"III Rocky Outcrop","Tern",30
"401",2011-03-04,"III Rocky Outcrop","Unidentified Gull",69
"402",2011-03-15,"I","Snowy Egret",1
"403",2011-03-15,"I","Spotted Sandpiper",1
"404",2011-03-15,"I","Western Gull",2
"405",2011-03-15,"II","Black Phoebe",2
"406",2011-03-15,"II","Black Turnstone",3
"407",2011-03-15,"II","Great Egret",1
"408",2011-03-15,"II","Snowy Egret",2
"409",2011-03-15,"II","Spotted Sandpiper",1
"410",2011-03-15,"II","Western Gull",2
"411",2011-03-15,"III","Great Blue Heron",2
"412",2011-03-15,"III","Great Egret",2
"413",2011-03-15,"III","Juvenile Gull",1
"414",2011-03-15,"III","Savannah Sparrow",1
"415",2011-03-15,"III","Snowy Egret",1
"416",2011-03-15,"III","Wandering Tattler",1
"417",2011-03-15,"III","Western Gull",2
"418",2011-03-15,"III Rocky Outcrop","Brown Pelican",12
"419",2011-03-15,"III Rocky Outcrop","Great Blue Heron",2
"420",2011-03-15,"III Rocky Outcrop","Snowy Egret",2
"421",2011-03-15,"III Rocky Outcrop","Tern",74
"422",2011-03-15,"III Rocky Outcrop","Unidentified Gull",65
"423",2011-03-16,"I","Black Turnstone",1
"424",2011-03-16,"I","Spotted Sandpiper",2
"425",2011-03-16,"I","Western Gull",2
"426",2011-03-16,"II","Black Phoebe",2
"427",2011-03-16,"II","Sparrow",3
"428",2011-03-16,"II","Western Gull",2
"429",2011-03-16,"II","White Crowned Sparrow",2
"430",2011-03-16,"III","Snowy Egret",3
"431",2011-03-16,"III","Wandering Tattler",2
"432",2011-03-16,"III","Western Gull",2
"433",2011-03-16,"III","Willet",1
"434",2011-03-16,"III Rocky Outcrop","Brown Pelican",6
"435",2011-03-16,"III Rocky Outcrop","Cormorant",2
"436",2011-03-16,"III Rocky Outcrop","Snowy Egret",2
"437",2011-03-16,"III Rocky Outcrop","Tern",85
"438",2011-03-16,"III Rocky Outcrop","Unidentified Gull",52
"439",2011-03-17,"I","Black Turnstone",2
"440",2011-03-17,"I","Spotted Sandpiper",2
"441",2011-03-17,"II","Black Phoebe",1
"442",2011-03-17,"II","Black Turnstone",1
"443",2011-03-17,"II","Western Gull",3
"444",2011-03-17,"III","Great Egret",1
"445",2011-03-17,"III","Juvenile Gull",1
"446",2011-03-17,"III","Snowy Egret",1
"447",2011-03-17,"III","Western Gull",6
"448",2011-03-17,"III Rocky Outcrop","Brown Pelican",12
"449",2011-03-17,"III Rocky Outcrop","Snowy Egret",2
"450",2011-03-17,"III Rocky Outcrop","Tern",96
"451",2011-03-17,"III Rocky Outcrop","Unidentified Gull",44
"452",2011-03-18,"I","Spotted Sandpiper",1
"453",2011-03-18,"I","Western Gull",2
"454",2011-03-18,"II","Wandering Tattler",2
"455",2011-03-18,"II","Western Gull",2
"456",2011-03-18,"III","Great Blue Heron",1
"457",2011-03-18,"III","Great Egret",2
"458",2011-03-18,"III","Ring-Billed Gull",1
"459",2011-03-18,"III","Snowy Egret",5
"460",2011-03-18,"III","Spotted Sandpiper",2
"461",2011-03-18,"III","Western Gull",3
"462",2011-03-18,"III Rocky Outcrop","Brown Pelican",5
"463",2011-03-18,"III Rocky Outcrop","Tern",54
"464",2011-03-18,"III Rocky Outcrop","Unidentified Gull",66
"465",2011-03-19,"I","Black Turnstone",1
"466",2011-03-19,"I","Spotted Sandpiper",1
"467",2011-03-19,"I","Western Gull",1
"468",2011-03-19,"III","Great Blue Heron",2
"469",2011-03-19,"III","Snowy Egret",3
"470",2011-03-19,"III","Sparrow",2
"471",2011-03-19,"III","Unidentified Bird (non-gull)",1
"472",2011-03-19,"III","Western Gull",2
"473",2011-03-19,"III Rocky Outcrop","Brown Pelican",5
"474",2011-03-19,"III Rocky Outcrop","Tern",50
"475",2011-03-19,"III Rocky Outcrop","Unidentified Gull",31
"476",2011-03-28,"I","Snowy Egret",2
"477",2011-03-28,"I","Spotted Sandpiper",2
"478",2011-03-28,"I","Western Gull",2
"479",2011-03-28,"II","Black Phoebe",2
"480",2011-03-28,"II","Great Egret",1
"481",2011-03-28,"II","Snowy Egret",4
"482",2011-03-28,"II","Spotted Sandpiper",1
"483",2011-03-28,"II","Wandering Tattler",1
"484",2011-03-28,"III","Great Blue Heron",1
"485",2011-03-28,"III","Snowy Egret",1
"486",2011-03-28,"III Boulders","Snowy Egret",2
"487",2011-03-28,"III Rocky Outcrop","Brown Pelican",10
"488",2011-03-28,"III Rocky Outcrop","Tern",60
"489",2011-03-28,"III Rocky Outcrop","Unidentified Gull",50
"490",2011-03-29,"I","Black Turnstone",2
"491",2011-03-29,"I","Snowy Egret",1
"492",2011-03-29,"I","Spotted Sandpiper",1
"493",2011-03-29,"I","Western Gull",2
"494",2011-03-29,"II","Snowy Egret",1
"495",2011-03-29,"II","Spotted Sandpiper",1
"496",2011-03-29,"II","Western Gull",1
"497",2011-03-29,"III","Great Blue Heron",2
"498",2011-03-29,"III","Juvenile Gull",1
"499",2011-03-29,"III","Red-breasted Merganser",1
"500",2011-03-29,"III","Snowy Egret",1
"501",2011-03-29,"III","Spotted Sandpiper",1
"502",2011-03-29,"III","Western Gull",3
"503",2011-03-29,"III Rocky Outcrop","Brown Pelican",91
"504",2011-03-29,"III Rocky Outcrop","Cormorant",1
"505",2011-03-29,"III Rocky Outcrop","Great Blue Heron",1
"506",2011-03-29,"III Rocky Outcrop","Snowy Egret",2
"507",2011-03-29,"III Rocky Outcrop","Tern",65
"508",2011-03-29,"III Rocky Outcrop","Unidentified Gull",42
"509",2011-04-13,"I","Snowy Egret",1
"510",2011-04-13,"I","Spotted Sandpiper",1
"511",2011-04-13,"I","Western Gull",1
"512",2011-04-13,"II","Red-breasted Merganser",1
"513",2011-04-13,"II","Spotted Sandpiper",1
"514",2011-04-13,"II","Western Gull",1
"515",2011-04-13,"II","Whimbrel",1
"516",2011-04-13,"III","European Starling",1
"517",2011-04-13,"III","Great Blue Heron",1
"518",2011-04-13,"III","Snowy Egret",1
"519",2011-04-13,"III","Western Gull",2
"520",2011-04-13,"III Rocky Outcrop","Brown Pelican",1
"521",2011-04-13,"III Rocky Outcrop","Cormorant",3
"522",2011-04-13,"III Rocky Outcrop","Great Blue Heron",1
"523",2011-04-13,"III Rocky Outcrop","Tern",35
"524",2011-04-13,"III Rocky Outcrop","Unidentified Gull",22
"525",2011-04-14,"I","Spotted Sandpiper",1
"526",2011-04-14,"II","Great Blue Heron",1
"527",2011-04-14,"II","Snowy Egret",1
"528",2011-04-14,"II","Western Gull",2
"529",2011-04-14,"II","Whimbrel",1
"530",2011-04-14,"III","Great Blue Heron",1
"531",2011-04-14,"III","Juvenile Gull",5
"532",2011-04-14,"III","Spotted Sandpiper",2
"533",2011-04-14,"III","Western Gull",5
"534",2011-04-14,"III","Whimbrel",1
"535",2011-04-14,"III Rocky Outcrop","Brown Pelican",1
"536",2011-04-14,"III Rocky Outcrop","Cormorant",1
"537",2011-04-14,"III Rocky Outcrop","Great Blue Heron",1
"538",2011-04-14,"III Rocky Outcrop","Snowy Egret",3
"539",2011-04-14,"III Rocky Outcrop","Tern",31
"540",2011-04-14,"III Rocky Outcrop","Unidentified Gull",38
"541",2011-04-15,"I","Snowy Egret",1
"542",2011-04-15,"I","Western Gull",1
"543",2011-04-15,"II","Snowy Egret",1
"544",2011-04-15,"II","Western Gull",2
"545",2011-04-15,"II","Whimbrel",1
"546",2011-04-15,"III","Great Blue Heron",3
"547",2011-04-15,"III","Snowy Egret",1
"548",2011-04-15,"III","Spotted Sandpiper",1
